Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,NFLX,0,0,0,0,157790000000.0,166140000000.0,134.85,56.91,1.82,9.99,30.12,10.52,98.4,7.67,10.16,4.46,27.46,15790000000.0,36.28,27.4,5830000000.0,1690000000.0,1210000000.0,2.68,-27.8,3790000000.0,8.69,10360000000.0,197.76,1.49,12.0,-2680000000.0,8470000000.000001,1.58,360.97,326.18,9140000.0,436600000.0,430000000.0,1.74,77.16,15580000.0,2.37,4.11,16360000.0
0,0,AET,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,FLR,0,0,0,0,5620000000.0,5520000000.0,25.3,11.18,0.51,0.29,1.9,0.29,7.38,1.17,2.78,3.64,8.86,19170000000.0,136.5,-4.5,669900000.0,748620000.0,224830000.0,1.59,-16.7,1980000000.0,14.18,1690000000.0,54.15,1.53,21.22,162160000.0,486470000.0,2.1,37.45,40.85,1740000.0,139610000.0,138700000.0,0.64,90.49,3710000.0,1.98,2.98,3430000.0
0,0,TROW,0,0,0,0,24740000000.0,23990000000.0,14.37,14.3,10.38,4.6,4.06,4.47,9.57,34.2,43.67,19.26,25.85,5370000000.0,22.18,0.6,3130000000.0,2510000000.0,1790000000.0,7.27,1.4,1430000000.0,6.03,,,2.54,25.73,1620000000.0,1820000000.0,0.99,99.97,97.67,1460000.0,236710000.0,229120000.0,2.9,74.23,6160000.0,4.6,2.67,5900000.0
0,0,MMC,0,0,0,0,47500000000.0,52320000000.0,28.98,18.24,2.25,3.18,6.28,3.5,15.08,11.04,19.91,8.86,22.23,14950000000.0,29.55,0.7,6560000000.0,3470000000.0,1650000000.0,3.23,427.6,1070000000.0000001,2.11,5820000000.0,76.79,1.21,14.91,2430000000.0,2150000000.0,0.76,92.47,86.07,1670000.0,507560000.0,504110000.0,0.2,88.46,5680000.0,3.38,1.12,5530000.0
0,0,SFLY,0,0,0,0,1390000000.0,2029999999.9999998,28.15,23.19,1.54,0.71,2.04,1.04,7.48,2.57,7.68,4.91,8.23,1960000000.0,58.99,60.0,1010000000.0,271880000.0,50400000.0,1.45,59.0,555580000.0,16.31,1210000000.0,179.38,1.8,20.03,201930000.0,254890000.0,1.73,42.34,49.12,34070000.0,34070000.0,33840000.0,0.6,114.58,4090000.0,6.85,17.17,3820000.0
0,0,CTSH,0,0,0,0,42790000000.0,38910000000.0,20.67,15.15,1.88,2.65,3.76,2.41,11.72,13.03,17.59,11.39,19.02,16120000000.000002,27.71,7.9,6290000000.0,3320000000.0,2100000000.0,3.6,,4510000000.0,7.84,745000000.0,6.52,3.12,19.8,2590000000.0,2140000000.0000002,1.05,71.98,70.28,3490000.0,575100000.0,573320000.0,0.23,92.7,5460000.0,1.45,0.94,5460000.0
0,0,CINF,0,0,0,0,13970000000.0,14130000000.0,48.95,23.93,5.03,2.58,1.78,2.61,38.5,5.31,5.62,0.87,3.57,5410000000.0,33.13,-49.7,395000000.0,367000000.0,287000000.0,1.75,,784000000.0,4.81,866000000.0,11.06,1.24,48.1,1180000000.0,222880000.0,0.55,85.46,80.13,163130000.0,163130000.0,158970000.0,6.75,65.39,2820000.0,4.13,2.1,2900000.0
0,0,MA,0,0,0,0,242390000000.0,240810000000.0,42.19,26.43,1.52,16.21,45.12,16.11,27.07,39.19,56.44,22.83,105.98,14950000000.0,14.36,14.9,14950000000.0,8900000000.0,5860000000.0,5.6,296.0,8380000000.000001,8.17,6330000000.0,115.39,1.39,5.24,6220000000.0,7060000000.0,1.01,228.76,208.46,3490000.0,1010000000.0,1010000000.0,11.17,77.96,6540000.0,2.19,0.71,7110000.0
0,0,TDC,0,0,0,0,5160000000.0,4970000000.0,175.44,21.71,2.59,2.38,10.35,2.3,40.38,1.39,2.22,1.22,5.16,2160000000.0,18.15,-6.1,1140000000.0,123000000.0,30000000.0,0.25,,715000000.0,6.09,544000000.0,109.9,1.41,4.24,364000000.0,209250000.0,0.96,46.38,40.65,1230000.0,117640000.0,115950000.0,0.01,26.7,10110000.0,10.51,11.48,9690000.0
0,0,JEC,0,0,0,0,10700000000.0,12580000000.0,38.76,13.25,1.09,0.66,1.87,0.77,13.1,1.75,4.67,3.71,4.68,16280000000.000002,114.64,72.9,2830000000.0,959960000.0,261529999.99999997,1.98,5646.5,886710000.0,6.36,2670000000.0,45.75,1.58,40.98,209560000.0,103060000.0,1.36,73.96,69.28,1360000.0,139520000.0,138900000.0,0.52,90.0,6180000.0,3.95,4.37,5100000.0
0,0,BMS,0,0,0,0,5070000000.0,6330000000.0,22.51,17.54,2.23,1.24,4.16,1.55,11.08,5.52,9.87,6.94,18.67,4090000000.0,44.94,-0.1,805100000.0,571200000.0,225700000.0,2.47,,76100000.0,0.83,1360000000.0,112.12,1.76,13.36,461500000.0,300390000.0,0.79,53.73,48.91,91210000.0,91210000.0,90250000.0,1.34,74.02,3930000.0,6.24,4.85,3890000.0
0,0,MGM,0,0,0,0,14800000000.0,32409999999.999996,34.02,16.02,0.55,1.31,2.23,2.86,12.92,4.12,11.74,2.8,5.24,11340000000.0,20.83,17.8,4840000000.0,2510000000.0,445450000.0,0.81,,1530000000.0,2.84,15140000000.0,143.2,0.86,12.35,1720000000.0,-45070000.0,1.1,26.75,26.83,7950000.0,536920000.0,470240000.0,7.45,81.56,17080000.0,2.36,3.29,17390000.0
0,0,IBM,0,0,0,0,127600000000.0,161520000000.0,15.06,10.13,10.71,1.6,7.62,2.03,9.67,10.97,15.37,6.15,50.34,79590000000.0,87.27,-3.5,36940000000.0,16710000000.0,8720000000.0,9.52,,12010000000.0,13.49,45890000000.0,271.07,1.29,18.82,15250000000.0,5870000000.0,1.68,139.38,130.86,4240000.0,889870000.0,889110000.0,0.11,57.47,15870000.0,4.42,1.79,13920000.0
0,0,MET,0,0,0,0,43090000000.0,111260000000.0,9.17,7.45,0.82,0.63,0.82,1.64,14.23,7.54,10.99,0.66,9.17,67920000000.0,67.52,-1.0,20360000000.0,7820000000.0,4980000000.0,4.91,-10.8,24600000000.0,25.7,92510000000.0,174.69,1.11,55.02,11740000000.0,2380000000.0,0.97,44.29,43.8,5760000.0,957270000.0,808670000.0,61.88,0.0,13710000.0,2.19,1.59,12200000.0
0,0,WAT,0,0,0,0,17910000000.0,17460000000.0,33.09,23.84,2.22,7.4,11.81,7.21,20.59,24.54,30.55,10.21,31.24,2420000000.0,31.43,4.0,1430000000.0,847760000.0,593790000.0,7.65,,1740000000.0,24.26,1150000000.0,73.27,5.93,21.44,604450000.0,341440000.0,1.28,243.33,209.14,70760000.0,70760000.0,68150000.0,4.85,98.55,3100000.0,5.29,3.97,3420000.0
0,0,WMB,0,0,0,0,35140000000.0,58870000000.0,,26.61,3.48,4.05,2.4,6.78,16.1,-1.78,22.24,2.63,1.2,8690000000.0,8.92,-1.1,,3660000000.0,-156000000.0,-0.16,,168000000.0,0.14,22410000000.0,140.11,0.81,12.09,3290000000.0,-1370000000.0,1.51,27.87,26.07,7780000.0,1210000000.0,1210000000.0,0.13,91.82,28980000.0,4.18,,33450000.000000004
0,0,K,0,0,0,0,19760000000.0,28660000000.0,15.01,13.5,7.45,1.46,7.6,2.12,11.92,9.86,13.94,6.92,50.21,13550000000.0,39.04,4.1,4830000000.0,2400000000.0,1340000000.0,3.83,,321000000.0,0.93,8890000000.0,281.51,0.7,7.56,1540000000.0,1020000000.0,0.7,55.79,61.1,2900000.0,343720000.0,275230000.0,0.69,89.14,18170000.0,5.61,6.65,14810000.0
